,common_name,season
,Arsenal,2018/2019
,Tottenham Hotspur,2018/2019
,Manchester City,2018/2019
,Leicester City,2018/2019
,Crystal Palace,2018/2019
,Everton,2018/2019
,Burnley,2018/2019
,Southampton,2018/2019
,AFC Bournemouth,2018/2019
,Manchester United,2018/2019
,Liverpool,2018/2019
,Chelsea,2018/2019
,West Ham United,2018/2019
,Watford,2018/2019
,Newcastle United,2018/2019
,Cardiff City,2018/2019
,Fulham,2018/2019
,Brighton & Hove Albion,2018/2019
,Huddersfield Town,2018/2019
,Wolverhampton Wanderers,2018/2019
